id,section,bundle_version,serial,branch,number,rarity,round,level,type,feature,battle_power_1,battle_power_2,battle_power_3,battle_power_4,battle_power_ex,publication_year,name,ruby,character_name,effect,flavor_text,participating_works,participating_works_url,errata_enable,errata_url,type_name,illustrator_name,image_url,thumbnail_image_url
773,BP,05,006,,BP05-006,U,,3,BASIC,Ultra Hero,8000,13000,16000,,,1996,Ultraman Tiga,-,TIGA,"[SIN][DBL]While this character's battle opponent has TYPE 【POWER】 , this character's BP grade increases by 1.","When people saw the mix of purple and red, they knew their hero was here.",ULTRAMAN TIGA,,False,,Multi Type,,https://img.ultraman-cardgame.com/images/card_details/587a2ab20cca17fc39cd1c66b96099a3b055f858.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/4b033670b0f03186a1e5152c0af182dfed93e51b.webp
774,BP,05,007,,BP05-007,C,,3,SPEED,Ultra Hero,8000,14000,16000,,,1996,Ultraman Tiga,-,TIGA,,The Runboldt Beam Shell is a technique so fast it can exceed the speed of darkness!,ULTRAMAN TIGA,,False,,Runboldt Beam Shell,,https://img.ultraman-cardgame.com/images/card_details/6ee21e97bae1f108403ffefa7bdd70efa6be7c27.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/046ccc49ab01d7529ce6710df67b021b171b719e.webp
901,BP,05,008,,BP05-008,RRRR,,4,BASIC,Ultra Hero,,12000,17000,20000,,1996,Glitter Tiga,-,TIGA,"(*This card cannot enter play as SINGLE, and cannot become SINGLE) [QUAD]《When this character enters play》You may put the top card of one of your level 2 or 3 『TIGA』 that is DOUBLE or TRIPLE into its owner's hand. If you do, put one 『TIGA』 from your discard area with the same level as that card into play in its place.","In the darkest abyss, the light of humanity shined down upon the petrified Tiga... And so, the Giant rose.",ULTRAMAN TIGA,,False,,,NAKANORYO,https://img.ultraman-cardgame.com/images/card_details/9c864ca7f5d4d4a4a718a1798f730779d3314ab5.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/473591641a43678d392f0222fbb21605c7d889b8.webp
775,BP,05,009,,BP05-009,U,,1,BASIC,Ultra Hero,5000,9000,,,,1997,Ultraman Dyna,-,DYNA,"[SIN]While this character's battle opponent has TYPE 【POWER】 , this character's BP grade increases by 1.",Time can only move forward — and Dyna is always moving towards that future.,ULTRAMAN DYNA,,False,,Flash Type,,https://img.ultraman-cardgame.com/images/card_details/e4660117632f54296c94cc55c2f1a9fa2aaf9ca4.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/fd7ed2f7ba919212d3a23943babc03db4c05d108.webp
776,BP,05,010,,BP05-010,R,,2,BASIC,Ultra Hero,5000,11000,14000,,,1997,Ultraman Dyna,-,DYNA,"[SIN][DBL]While this character's battle opponent has TYPE 【ARMED】 or 【HAZARD】 , this character's BP grade increases by 1.","""I can't lose in a place like this — I have something to surpass!""",ULTRAMAN DYNA,,False,,Flash Type,Mikihiko Tabata,https://img.ultraman-cardgame.com/images/card_details/3d1f2ccc21f2942df9aa3384519526613dfc5792.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/32909784f22580d261c4ff904f458b997e31c1af.webp
777,BP,05,010,AP04,AP(04/20)BP05-010,AP,,2,BASIC,Ultra Hero,5000,11000,14000,,,1997,Ultraman Dyna,-,DYNA,"[SIN][DBL]While this character's battle opponent has TYPE 【ARMED】 or 【HAZARD】 , this character's BP grade increases by 1.","The Giant of Tomorrow's battle is just beginning — empowered by the hearts of those he has left behind, and those he continues to meet.",ULTRAMAN DYNA,,False,,Flash Type,TONJI MATSUNO,https://img.ultraman-cardgame.com/images/card_details/9b41ee0ddf6ab4c0348fcd36664c063ee5f0ff4a.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/9a7f3534886c8e3989ceec736ca32ae6a86ed940.webp
778,BP,05,011,,BP05-011,U,,2,BASIC,Ultra Hero,7000,9000,13000,,,1997,Ultraman Dyna,-,DYNA,[SIN]《When this character enters play》You may give one of your Ultra Hero with TYPE 【BASIC】 +1000 BP for this turn.,He channeled his wrath into a counterstrike that could crush his foe!,ULTRAMAN DYNA,,False,,Flash Type,,https://img.ultraman-cardgame.com/images/card_details/15f38d3d166190361a35d6ee5644fd669d36002f.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/8d5574939df631e32d7e51b458b23bb7a39156c1.webp
779,BP,05,012,,BP05-012,C,,2,POWER,Ultra Hero,6000,9000,,,,1997,Ultraman Dyna,-,DYNA,[SIN][DBL]《When this character enters play》You may give one of your characters TYPE 【SPEED】 for this turn.,"The crimson red of Dyna's Strong Type matches his burning, courageous heart!",ULTRAMAN DYNA,,False,,Strong Type,,https://img.ultraman-cardgame.com/images/card_details/d537a430dc3a64726a0285c66a432f2d0b29a290.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/aab2eec70a59247cb0f90f603ca6403a1e5292bf.webp
780,BP,05,013,,BP05-013,RR,,3,POWER,Ultra Hero,6000,13000,17000,,,1997,Ultraman Dyna,-,DYNA,[TRP][Activate](Once per turn)Exile one scene card in your discard area from the game → Give one of your Ultra Hero +2000 BP for this turn.,As the imitation aimed to finish off Dyna — that was the moment he struck a counterblow!,ULTRAMAN DYNA,,False,,Strong Type,Rickie Yagawa,https://img.ultraman-cardgame.com/images/card_details/44f157304d5d45da7f54d585b3b408b353d161b1.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/a027da240ffb18f3a5fad6554953ac0c97518c6a.webp
781,BP,05,013,AP06,AP(06/20)BP05-013,AP,,3,POWER,Ultra Hero,6000,13000,17000,,,1997,Ultraman Dyna,-,DYNA,[TRP][Activate](Once per turn)Exile one scene card in your discard area from the game → Give one of your Ultra Hero +2000 BP for this turn.,It was the cheers of the people that allowed Dyna to stand again!,ULTRAMAN DYNA,,False,,Strong Type,Kazumasa Yasukuni,https://img.ultraman-cardgame.com/images/card_details/8552554095554c40d293c0a915bfe7b08d2eb864.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/541fd12633ab11a2d883d497ee8af53de3b27d63.webp
782,BP,05,014,,BP05-014,C,,3,SPEED,Ultra Hero,8000,13000,16000,,,1997,Ultraman Dyna,-,DYNA,"[SIN][DBL]《When this character enters play》If this character's battle opponent is a Kaiju, you may give this character TYPE 【POWER】 for this turn.","There is nothing Dyna is truly incapable of — whatever he thinks of, he can do.",ULTRAMAN DYNA,,False,,Miracle Type,,https://img.ultraman-cardgame.com/images/card_details/09faaef2e6bd317cb026bafa96cccfd082839fe6.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/c3767b405a7c6b6398ea75bb455ed60f99cfb3d2.webp
783,BP,05,015,,BP05-015,C,,3,BASIC,Ultra Hero,8000,14000,16000,,,1997,Ultraman Dyna,-,DYNA,,Dyna is capable of tremendous skill and clever techniques — backed by explosive power.,ULTRAMAN DYNA,,False,,Flash Type,,https://img.ultraman-cardgame.com/images/card_details/80a30af99a4a3b54de9c9f77f7dddef36b2b4929.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/c8a4f391c92157bf223da688b1a1ac1e1560404c.webp
784,BP,05,016,,BP05-016,U,,1,BASIC,Ultra Hero,5000,9000,,,,1998,Ultraman Gaia,-,GAIA,"[SIN]While this character's battle opponent has TYPE 【POWER】 , this character's BP grade increases by 1.","The Giant that unites the land and sea rises, reaching for the sky!",ULTRAMAN GAIA,,False,,V2,,https://img.ultraman-cardgame.com/images/card_details/90e4feb54ac3d79ae85023899066650f30c45bdf.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/81a9a501eb10d740e0fa33f195a9e65ef804948b.webp
785,BP,05,017,,BP05-017,R,,2,BASIC,Ultra Hero,6000,10000,13000,,,1998,Ultraman Gaia,-,GAIA,"[DBL]《When this character enters play》You may send the top two cards of your deck to your discard area. If you do, give one of your 『GAIA』 or 『AGUL』 +1000 BP for this turn for each 『AGUL』 card from among the cards sent.",The future is not predetermined — so never give up!,ULTRAMAN GAIA,,False,,Quantum Stream,Kazumasa Yasukuni,https://img.ultraman-cardgame.com/images/card_details/27759b87a6e8e513bd970cbd92acc0706d43e694.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/072ebe365cba3c26ef134d9eec5733bb2fdd5ef2.webp
786,BP,05,018,,BP05-018,C,,2,POWER,Ultra Hero,7000,11000,,,,1998,Ultraman Gaia,-,GAIA,,Gaia's true strength was shown when he accepted Agul's light.,ULTRAMAN GAIA,,False,,V2,,https://img.ultraman-cardgame.com/images/card_details/1fe2fc8224d263a8fc132778815fa5fe5be28f29.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/9c2d481ea3cc67ec24d6623cb347fdabc99b3ba9.webp
787,BP,05,019,,BP05-019,C,,2,SPEED,Ultra Hero,6000,9000,,,,1998,Ultraman Gaia,-,GAIA,[SIN][DBL]《When this character enters play》You may give one of your characters TYPE 【ARMED】 for this turn.,The Quantum Stream's power compounds with Agul's to release a power never before seen!,ULTRAMAN GAIA,,False,,Quantum Stream,,https://img.ultraman-cardgame.com/images/card_details/6eda34f626430ba250bcf3f9819968e62539d84f.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/9274e5219765a88322daa709c5139a6faa1d7cb6.webp
788,BP,05,020,,BP05-020,RR,,3,BASIC,Ultra Hero,7000,13000,17000,,,1998,Ultraman Gaia,-,GAIA,[TRP]《When this character enters play》You may give one of your 『GAIA』 or 『AGUL』 +2000 BP for this turn.,"Lifting Super C.O.V. into the air, Gaia swung the Kaiju into its ally!",ULTRAMAN GAIA,,False,,Supreme Version,NAKANORYO,https://img.ultraman-cardgame.com/images/card_details/63b4dea0df4f30b52ff588172ce64c66cc0d4444.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/952087e8c87efdd7afe18f42661f8163b8e13ce1.webp
789,BP,05,020,AP02,AP(02/20)BP05-020,AP,,3,BASIC,Ultra Hero,7000,13000,17000,,,1998,Ultraman Gaia,-,GAIA,[TRP]《When this character enters play》You may give one of your 『GAIA』 or 『AGUL』 +2000 BP for this turn.,The Giant of the Earth continues to grow and get stronger — for every heart that beats on this beautiful planet.,ULTRAMAN GAIA,,False,,Supreme Version,TONJI MATSUNO,https://img.ultraman-cardgame.com/images/card_details/1785904ff9c5354f4c74aedd24ea21712692c78f.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/89cc4f422323069a69ea1816ff982daabed520ed.webp
790,BP,05,021,,BP05-021,U,,3,POWER,Ultra Hero,7000,12000,16000,,,1998,Ultraman Gaia,-,GAIA,"[DBL][TRP]《When this character enters play》You may draw a card. When you draw with this effect, return one card from your hand to the top or bottom of your deck.","With his incredible strength, Gaia lifted Enzan into the air one-handed and hurled it away!",ULTRAMAN GAIA,,False,,Supreme Version,,https://img.ultraman-cardgame.com/images/card_details/e546ed7cc14d91e5eb053da247248b76823b175e.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/b6e81f1451314eeae07a2042e2b4e36c81fd5e46.webp
791,BP,05,022,,BP05-022,C,,3,SPEED,Ultra Hero,8000,14000,16000,,,1998,Ultraman Gaia,-,GAIA,,Enzan was a terraforming machine designed to warm the Earth — but the embodiment of the Earth fought back.,ULTRAMAN GAIA,,False,,V2,,https://img.ultraman-cardgame.com/images/card_details/a4ba39f101e5bec04b3c8f94723ddaaf43c5af2f.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/24c763ae7bd2e005c91fca11be83936c457af29d.webp
792,BP,05,023,,BP05-023,R,,1,BASIC,Ultra Hero,5000,9000,,,,1998,Ultraman Agul,-,AGUL,"[SIN]While this character's battle opponent has TYPE 【POWER】 or 【HAZARD】 , this character's BP grade increases by 1.",Agul could not fight Izac — All that he saw when looking at the Kaiju were humanity's mistakes.,ULTRAMAN GAIA,,False,,V2,"Studio Vigor Co.,Ltd",https://img.ultraman-cardgame.com/images/card_details/3eea4137ecd446c76a650a5569bf763bbbc9bc30.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/945957ec0c822babf2155ff0fcd31307d72b0c22.webp
793,BP,05,024,,BP05-024,R,,2,POWER,Ultra Hero,6000,9000,13000,,,1998,Ultraman Agul,-,AGUL,"[SIN][DBL]《When this character enters play》You may put the top card of another one of your DOUBLE or TRIPLE 『AGUL』 or 『GAIA』 into its owner's hand. If you do, and this character is SINGLE, discard one card from your hand.",Fujimiya could regain Agul's power only after regaining his willingness to fight for the future.,ULTRAMAN GAIA,,False,,V2,Mikihiko Tabata,https://img.ultraman-cardgame.com/images/card_details/4885746cf349d4ecc1ad925e2d9cae876b22ac6e.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/0064c4ef428869daf26ed77e1128b67d1cdbafa5.webp
794,BP,05,025,,BP05-025,U,,2,SPEED,Ultra Hero,7000,11000,13000,,,1998,Ultraman Agul,-,AGUL,"[SIN][DBL]While this character's battle opponent has TYPE 【ARMED】 , this character's BP grade increases by 1.","Now returned and empowered, Agul took the fight to Σ-Zuigul to free Gaia!",ULTRAMAN GAIA,,False,,V2,,https://img.ultraman-cardgame.com/images/card_details/a442128dd52dd9313d227873b70f50c4ffa61175.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/9a9d9916d2e758bce8bfd1e949a9c17797583fe1.webp
795,BP,05,026,,BP05-026,C,,2,BASIC,Ultra Hero,6000,9000,,,,1998,Ultraman Agul,-,AGUL,[SIN][DBL]《When this character enters play》You may give one of your characters TYPE 【POWER】 for this turn.,Agul is the embodiment of the sea — both its destructive potential and its capacity to bring life.,ULTRAMAN GAIA,,False,,V2,,https://img.ultraman-cardgame.com/images/card_details/901e7da7a0990ddc0af7aa399afbada17b8b7f6c.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/cc7b36f6a1ec13cbce8aedea0e4bfb25e710915c.webp
796,BP,05,027,,BP05-027,RR,,3,BASIC,Ultra Hero,7000,13000,17000,,,1998,Ultraman Agul,-,AGUL,[TRP]《When this character enters play》You may give the battle opponent of one of your 『AGUL』 or 『GAIA』 -2000 BP for this turn. (*BP will not be less than 0),"As Agul swung Super Pazuzu into Super C.O.V., he knew that his rivalry with Gaia had become a true partnership.",ULTRAMAN GAIA,,False,,V2,NAKANORYO,https://img.ultraman-cardgame.com/images/card_details/c7e736761c610c4ec90c6698652ef04670923279.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/85302fa5bb1ad7e6d737759823fd94fbe4a59523.webp
797,BP,05,027,AP01,AP(01/20)BP05-027,AP,,3,BASIC,Ultra Hero,7000,13000,17000,,,1998,Ultraman Agul,-,AGUL,[TRP]《When this character enters play》You may give the battle opponent of one of your 『AGUL』 or 『GAIA』 -2000 BP for this turn. (*BP will not be less than 0),The Giant of the Sea found his true power when he embraced his human heart.,ULTRAMAN GAIA,,False,,V2,TONJI MATSUNO,https://img.ultraman-cardgame.com/images/card_details/ce3542bdecc5b7bd3ac1aa9fd6cf84cb640333e2.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/5579906d5666e55119c185420db5c9ebe6c3d23f.webp
798,BP,05,028,,BP05-028,C,,3,POWER,Ultra Hero,8000,14000,16000,,,1998,Ultraman Agul,-,AGUL,,Fujimiya has not forgotten the person he was — he can only choose the person he will become.,ULTRAMAN GAIA,,False,,V2,,https://img.ultraman-cardgame.com/images/card_details/71591b64b4569fa7b0c4973e050e71cae6eb156d.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/17758a2fbfd507ed57d38bfd5ad7dfb446129e77.webp
799,BP,05,029,,BP05-029,C,,3,SPEED,Ultra Hero,8000,13000,16000,,,1998,Ultraman Agul,-,AGUL,"[SIN][DBL]《When this character enters play》If this character's battle opponent is a Kaiju, you may give this character TYPE 【POWER】 for this turn.","From his hand a blade emerges, capable of cutting through all that would defile the Earth.",ULTRAMAN GAIA,,False,,Agul Saber,,https://img.ultraman-cardgame.com/images/card_details/f7da9753cf3ffe0da4e092fc3ecaf3af53ffd9d7.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/b35eb4c8df3366344efb78feecfd40045308aec4.webp
800,BP,05,030,,BP05-030,C,,1,BASIC,Ultra Hero,3000,,,,,2004,Ultraman Nexus,-,NEXUS,[SIN]《When this character enters play》You may give one of your characters TYPE 【POWER】 for this turn.,Heroism passed from hand to hand. Could the next Dunamist be you?,ULTRAMAN NEXUS,,False,,Anphans,,https://img.ultraman-cardgame.com/images/card_details/f2d5811b51ef4300aa9c5d0d1d431a369585ff08.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/2d09aab1f540b0deb5d8e3983541c08f5b8eb970.webp
801,BP,05,031,,BP05-031,RR,,2,BASIC,Ultra Hero,7000,11000,15000,,,2004,Ultraman Nexus,-,NEXUS,[DBL]《When this character enters play》You may give this character +2000 BP for this turn.,"When the light from Nexus's Energy Core grows to cover his entire body, the giant's true power is revealed!",ULTRAMAN NEXUS,,False,,Core Final,Seimon,https://img.ultraman-cardgame.com/images/card_details/568b41027d81487820365c1d6b37159ff7af7c4b.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/debfc70cbe7b16fdf502d165b6d202f9ca06c924.webp
802,BP,05,032,,BP05-032,U,,2,SPEED,Ultra Hero,6000,11000,14000,,,2004,Ultraman Nexus,-,NEXUS,"[SIN][DBL]While this character's battle opponent has TYPE 【ARMED】 , this character's BP grade increases by 1.","Nexus did not serve humanity, but fought to protect them every way he could.",ULTRAMAN NEXUS,,False,,Particle Phaser,,https://img.ultraman-cardgame.com/images/card_details/efab36adfb9e64a16533d8404f41aefa1b20c5cc.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/e54fbb9b6360a16db48f650176efbb5cb7ac04d6.webp
803,BP,05,033,,BP05-033,C,,2,POWER,Ultra Hero,8000,10000,,,,2004,Ultraman Nexus,-,NEXUS,,Himeya saw every wound he sustained as penance for the lives he could not save.,ULTRAMAN NEXUS,,False,,Junis,,https://img.ultraman-cardgame.com/images/card_details/244e924e9aff28372747c0d954a67fc3dd282adc.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/b54297d0902439c1bfa51cf7bcbd9429ce9403dd.webp
804,BP,05,034,,BP05-034,R,,3,BASIC,Ultra Hero,7000,13000,16000,,,2004,Ultraman Nexus,-,NEXUS,"[TRP]While you have a scene in the scene area, give this character +2000 BP.",The Armed Nexus on Nexus's forearm is what allows him to channel his tremendous powers.,ULTRAMAN NEXUS,,False,,Junis,Masked,https://img.ultraman-cardgame.com/images/card_details/25b0ca2ef7f634544287d3b5849e47f1ce342aa9.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/8f718fe1728358a4cf3ef48fc9b3e8ad5db28eb7.webp
805,BP,05,034,AP07,AP(07/20)BP05-034,AP,,3,BASIC,Ultra Hero,7000,13000,16000,,,2004,Ultraman Nexus,-,NEXUS,"[TRP]While you have a scene in the scene area, give this character +2000 BP.",Himeya's battle was over. Nexus's battle was only beginning.,ULTRAMAN NEXUS,,False,,Junis,S-Kinoko,https://img.ultraman-cardgame.com/images/card_details/4189bf3fe5e4d4cafbea9db9e7c9a5ff275d65ac.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/125f60ec5ca9a8e3b1e8d64dbc5d8e5b274af7b4.webp
806,BP,05,035,,BP05-035,U,,3,SPEED,Ultra Hero,8000,13000,16000,,,2004,Ultraman Nexus,-,NEXUS,"[SIN][DBL]While this character's battle opponent has TYPE 【ARMED】 , this character's BP grade increases by 1.","In the end, Himeya realized that his battle as a Dunamist was not penance, but a chance to chart a better future.",ULTRAMAN NEXUS,,False,,Junis,,https://img.ultraman-cardgame.com/images/card_details/055631a00c7c6c5eb4bb1aad154ab737d739ba28.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/441af84ee82fef677007626ce677a1e2d3a7298a.webp
807,BP,05,036,,BP05-036,C,,3,POWER,Ultra Hero,8000,14000,16000,,,2004,Ultraman Nexus,-,NEXUS,,"As Nexus, Himeya battled with grim determination!",ULTRAMAN NEXUS,,False,,Junis,,https://img.ultraman-cardgame.com/images/card_details/7394b07d8de5ff268e417ae6b0573bc077211e2e.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/920dcd2b8cde91bc40cdb85ea468d0c5a5119e4d.webp
808,BP,05,037,,BP05-037,C,,1,POWER,Ultra Hero,5000,,,,,2009,Ultraman Zero,-,ZERO,,The bonds Zero has made cross universes and remain strong even now!,ULTRA ZERO FIGHT,,False,,,,https://img.ultraman-cardgame.com/images/card_details/45b4c87f7e7a0d25cb74e79c8dd207e9c16c7d73.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/77840f6275e1ed9001a1edc87ed5b116c8699bf2.webp
809,BP,05,038,,BP05-038,R,,2,POWER,Ultra Hero,7000,9000,14000,,,2009,Strong Corona Zero,-,ZERO,"[DBL]《When this character enters play》If you have 『ZERO』 with TYPE 【SPEED】 , you may draw a card.","From Dyna's Power Type and Cosmos's Corona Mode, Zero burns with blazing strength!",ULTRA ZERO FIGHT,,False,,,Masked,https://img.ultraman-cardgame.com/images/card_details/26efedab5cfecafb8abbdaeae781970c317fa42f.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/0e66e28061a7abd6b35e65547a5988fdfcb71c14.webp
